holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,traffic_volume,month,weekday,hour
None,288.28,0.0,0.0,40,Clouds,5545,October,Tuesday,9
None,289.36,0.0,0.0,75,Clouds,4516,October,Tuesday,10
None,289.58,0.0,0.0,90,Clouds,4767,October,Tuesday,11
None,290.13,0.0,0.0,90,Clouds,5026,October,Tuesday,12
None,291.14,0.0,0.0,75,Clouds,4918,October,Tuesday,13
None,291.72,0.0,0.0,1,Clear,5181,October,Tuesday,14
None,293.17,0.0,0.0,1,Clear,5584,October,Tuesday,15
None,293.86,0.0,0.0,1,Clear,6015,October,Tuesday,16
None,294.14,0.0,0.0,20,Clouds,5791,October,Tuesday,17
None,293.1,0.0,0.0,20,Clouds,4770,October,Tuesday,18
None,290.97,0.0,0.0,20,Clouds,3539,October,Tuesday,19
None,289.38,0.0,0.0,1,Clear,2784,October,Tuesday,20
None,288.61,0.0,0.0,1,Clear,2361,October,Tuesday,21
None,287.16,0.0,0.0,1,Clear,1529,October,Tuesday,22
None,285.45,0.0,0.0,1,Clear,963,October,Tuesday,23
None,284.63,0.0,0.0,1,Clear,506,October,Wednesday,0
None,283.47,0.0,0.0,1,Clear,321,October,Wednesday,1
None,281.18,0.0,0.0,1,Clear,273,October,Wednesday,2
None,281.09,0.0,0.0,1,Clear,367,October,Wednesday,3
None,279.53,0.0,0.0,1,Clear,814,October,Wednesday,4
None,278.62,0.0,0.0,1,Clear,2718,October,Wednesday,5
None,278.23,0.0,0.0,1,Clear,5673,October,Wednesday,6
None,278.12,0.0,0.0,1,Clear,6511,October,Wednesday,8
None,282.48,0.0,0.0,1,Clear,5471,October,Wednesday,9
None,291.97,0.0,0.0,1,Clear,5097,October,Wednesday,12
None,293.23,0.0,0.0,1,Clear,4887,October,Wednesday,13
None,294.31,0.0,0.0,1,Clear,5337,October,Wednesday,14
None,295.17,0.0,0.0,1,Clear,5692,October,Wednesday,15
None,295.13,0.0,0.0,1,Clear,6137,October,Wednesday,16
None,293.66,0.0,0.0,20,Clouds,4623,October,Wednesday,18
